ASID,Rotation,TYPE,ASSET_ID,SOURCE_ID,ACCESS,SURFACE_MA,LENGTH_M,WIDTH_M,STARTX,STARTY,ENDX,ENDY,DATE_OF_CO,OWNER,CURRENT_MA,CURRENTLY_,DEP_DAS_ID,CONDITION_,RISK_RATIN,SWEEPING_M,SWEEPING_I,INSP1,DATE_INSP1,INSP2,DATE_INSP2,INSP3,DATE_INSP3,INSP4,DATE_INSP4,INSP5,DATE_INSP5,INSP6,DATE_INSP6,INSP7,DATE_INSP7,INSP8,DATE_INSP8,INSP9,DATE_INSP9,INSP10,DATE_INS00,LAST_MAINT,ASSET_INFO,CONSQ_FAIL,SRVY_DATE,SRVY_TIME,SECTION,XSP,STCHAIN,ENDCHAIN,START_DATE,_DBFOCode,_Source,CreateDate,UserID
"26","0","","*","2600000026","","CONCRETE","10.887361798","1.500000000","451753.498231045","515562.870918566","451760.597228653","515555.313081974","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A174/54","L1","59.600000000","69.700000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"27","0","","*","2600000027","","CONCRETE","11.415685523","1.500000000","453481.250784780","516703.934292573","453475.685368537","516713.901439507","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A174/64","R1","409.920000000","410.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"28","0","","*","2600000028","","CONCRETE","10.733376609","2.500000000","453484.375662937","516696.466430226","453488.621869404","516686.629246091","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A174/64","LE","399.266623391","410.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"29","0","","*","2600000029","","CONCRETE","43.893128179","4.000000000","456915.434164244","519324.874056369","456887.466916989","519291.063734473","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A174/96","L1","2.000000000","45.810000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"30","0","","*","2600000030","","ASPHALT","16.290612956","1.500000000","445504.624137949","522109.436983523","445504.376786116","522094.781178703","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/396","R1","4.840000000","13.940000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"31","0","","*","2600000031","","BLOCK PAVING","4.537865391","1.000000000","445519.811540497","522082.654649886","445517.906931382","522078.535828886","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/396","L4","10.380000000","14.560000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"32","0","","*","2600000032","","ASPHALT","9.252694994","1.500000000","445517.840970894","522085.033968813","445525.904640651","522080.535256556","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/396","L3","7.200000000","10.290000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"33","0","","*","2600000033","","ASPHALT","17.299238858","1.500000000","445517.032954906","522084.534111896","445506.504011880","522070.808040943","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/396","L3","11.230000000","30.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"34","0","","*","2600000034","","BLOCK PAVING","5.338671968","2.000000000","445357.095259667","521887.660466390","445353.747764860","521883.501656837","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/396","L2","267.810000000","273.160000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"35","0","","*","2600000035","","ASPHALT","12.266639323","1.500000000","445073.407442361","522739.436647995","445084.595990275","522734.408087405","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/228","L1","374.510000000","379.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"36","0","","*","2600000036","","BLOCK PAVING","8.392584599","1.000000000","444712.562343271","525994.754822860","444709.874453352","525988.936488341","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/240","L2","0.470000000","6.540000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"37","0","","*","2600000037","","ASPHALT","16.757175273","3.000000000","444745.435401881","526121.748471306","444748.222232534","526105.313175861","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/256","L1","466.000000000","480.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"38","0","","*","2600000038","","ASPHALT","19.243994058","1.600000000","433695.750806753","564114.503158404","433698.372736184","564095.438615573","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4520A19/21","L2","17.630000000","37.240000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"39","0","","*","2600000039","","ASPHALT","8.425883864","2.500000000","433872.970150061","562363.874270710","433876.779368289","562356.566362577","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4520A19/59","R1","235.574116136","244.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"40","0","","*","2600000040","","ASPHALT","12.642321554","2.500000000","433898.752456124","562369.682608091","433895.248305156","562357.686042072","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4520A19/59","L2","232.640000000","244.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"41","0","","*","2600000041","","ASPHALT","30.330071424","2.500000000","433912.340316818","562396.684878772","433898.752456124","562369.682608091","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4520A19/59","L1","202.390000000","232.640000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"42","0","","*","2600000042","","ASPHALT","4.999619201","2.200000000","433916.190760353","562399.873965905","433912.340316818","562396.684878772","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4520A19/59","L2","197.740000000","202.390000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"43","0","","*","2600000043","","ASPHALT","63.885239681","2.000000000","433954.563274717","562447.750261458","433916.190760353","562399.873965905","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4520A19/59","L2","138.580000000","197.740000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"44","0","","*","2600000044","","ASPHALT","5.037457199","1.800000000","433829.972156418","563528.121008548","433826.468005450","563524.502044466","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4520A19/23","R1","15.310000000","18.610000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"45","0","","*","2600000045","","ASPHALT","73.544448750","1.800000000","433970.031009343","562917.625760995","433969.157032866","562844.246765514","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4520A19/23","L2","653.070000000","727.210000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"46","0","","*","2600000046","","ASPHALT","27.033988379","1.800000000","433888.371924197","563314.812067598","433896.402613710","563288.999456381","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4520A19/23","L2","240.100000000","267.600000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"47","0","","*","2600000047","","ASPHALT","4.389198519","1.200000000","433802.342956668","563615.875888975","433806.341811303","563614.066406934","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4520A19/21","L2","530.610801481","535.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"48","0","","*","2600000048","","BLOCK PAVING","253.110865226","1.800000000","433736.341242554","563947.620927946","433780.435829323","563699.691896892","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4520A19/21","L2","191.220000000","445.620000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"49","0","","*","2600000049","","ASPHALT","17.220776931","1.800000000","433692.972221162","564131.498293597","433695.750806753","564114.503158404","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4520A19/21","L2","0.240000000","17.630000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"50","0","","*","2600000050","","ASPHALT","57.785421194","1.800000000","433698.339755939","564095.558581233","433720.436519690","564042.503768015","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4520A19/21","L2","37.110000000","94.170000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"51","0","","*","2600000051","","ASPHALT","149.698691460","1.800000000","433853.280944151","563460.120473499","433888.371924197","563314.812067598","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4520A19/23","L1","87.710000000","240.100000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"52","0","","*","2600000052","","ASPHALT","77.023891973","1.800000000","433837.936885442","563535.248968191","433853.280944151","563460.120473499","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4520A19/23","L1","8.960000000","87.710000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"53","0","","*","2600000053","","ASPHALT","5.060332035","1.500000000","433839.280830401","563540.127571705","433837.936885442","563535.248968191","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4520A19/23","L2","3.010000000","8.960000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"54","0","","*","2600000054","","ASPHALT","3.729479486","1.000000000","433799.688046994","563618.495139223","433802.342956668","563615.875888975","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4520A19/21","L1","532.330000000","535.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"55","0","","*","2600000055","","ASPHALT","3.990007106","2.000000000","434201.123581884","559900.129510312","434198.122379644","559897.500262926","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4525A19/161","R1","0.000000000","460.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"56","0","","*","2600000056","","ASPHALT","7.040333943","5.000000000","434205.188397007","559905.877864863","434201.123581884","559900.129510312","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4525A19/161","R1","452.959666057","460.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"57","0","","*","2600000057","","ASPHALT","5.857717768","3.600000000","434212.435805715","559919.433984464","434218.157878119","559918.184342170","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4525A19/161","L1","454.142282232","460.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"58","0","","*","2600000058","","ASPHALT","66.154505200","2.500000000","434783.686619044","556920.122528437","434808.215675819","556858.690113283","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4525A19/172","L1","381.970000000","451.600000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"59","0","","*","2600000059","","ASPHALT","23.479032842","1.200000000","434726.878148057","557258.065793184","434717.214936447","557236.691911394","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4525A19/172","L1","9.500000000","34.530000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"60","0","","*","2600000060","","ASPHALT","1.249951472","2.800000000","434899.876020080","555091.495967346","434899.125719520","555090.496253511","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4525A19/182","L1","5.660000000","6.960000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"61","0","","*","2600000061","","CONCRETE","11.477444124","1.000000000","434703.280783186","557372.752964323","434710.783788788","557364.125433928","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4525A19/171","L1","444.970000000","455.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"62","0","","*","2600000062","","ASPHALT","8.283507031","2.200000000","434890.781717686","555091.186056057","434882.685067685","555089.436556846","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4525A19/182","R1","10.550000000","15.830000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"63","0","","*","2600000063","","ASPHALT","8.032778576","2.000000000","434883.559044161","555198.685284723","434875.561334893","555199.435070099","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4525A19/181","R1","709.750000000","713.670000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"64","0","","*","2600000064","","ASPHALT","7.542407013","1.600000000","435622.341254003","552443.623912837","435617.691039542","552437.685612658","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4525A19/193","R1","589.590000000","590.890000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"65","0","","*","2600000065","","ASPHALT","5.586922522","4.500000000","435625.284740816","552448.372553553","435622.341254003","552443.623912837","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4525A19/193","R1","590.890000000","591.240000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"66","0","","*","2600000066","","ASPHALT","18.186681950","1.600000000","435621.310621365","552462.128615921","435638.658229922","552457.749869324","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4525A19/193","L1","581.240000000","596.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"67","0","","*","2600000067","","ASPHALT","6.279503070","1.600000000","440073.000501194","550096.875662536","440066.965116468","550095.496057444","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300A19/440","R1","451.950000000","457.850000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"68","0","","*","2600000068","","ASPHALT","12.268239112","1.500000000","441079.689481394","546667.567291846","441085.906257464","546657.750101987","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300A19/524","R1","12.880000000","22.290000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"69","0","","*","2600000069","","ASPHALT","5.507948012","1.500000000","441098.282094176","546657.370210730","441099.469382975","546662.748671162","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300A19/524","L2","16.540000000","21.950000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"70","0","","*","2600000070","","ASPHALT","5.772182811","3.600000000","441054.096811736","546705.126540623","441057.378346054","546700.377899907","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300A19/521","R1","519.660000000","523.980000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"71","0","","*","2600000071","","CONCRETE","11.800007521","3.000000000","441057.312385565","546714.503856394","441068.871961229","546712.814340013","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300A19/521","L1","520.570000000","532.790000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
