FROM,ASID,SOURCE_ID,SURFACE_MA,LENGTH_M,WIDTH_M,STARTX,STARTY,ENDX,ENDY,DATE_OF_CO,OWNER,CURRENT_MA,CURRENTLY_,SECTION,XSP,STCHAIN,ENDCHAIN,ASSET_LEN,_DBFOCODE,_SOURCE,CREATEDATE,START_DATE,WKT
A19_Footway_0,120,2600000120,ASPHALT,348.873708499,1.5,433486.779733146,564680.871037285,433648.440646155,564376.878054371,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,4520A19/5,L2,191.07,538.89,347.82,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(433486.779733146 564680.871037285,433648.440646155 564376.878054371)"
A19_Footway_0,121,2600000121,ASPHALT,187.174659836,2,433397.716583132,564844.50419778,433486.779733146,564680.871037285,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,4520A19/5,L1,0,191.07,191.07,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(433397.716583132 564844.50419778,433486.779733146 564680.871037285)"
A19_Footway_0,122,2600000122,ASPHALT,73.743874652,1,444290.37398959,499919.378821599,444296.722686637,499845.909851873,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,2700A19/917,L1,616.86,691.97,75.11,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(444290.37398959 499919.378821599,444296.722686637 499845.909851873)"
A19_Footway_0,123,2600000123,CONCRETE,73.417971939,1,444265.96860873,501553.251130515,444266.842585207,501479.842143619,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,2700A19/929,L1,1370.96,1445.64,74.6800000000001,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(444265.96860873 501553.251130515,444266.842585207 501479.842143619)"
A19_Footway_0,124,2600000124,CONCRETE FLAGS,40.883543298,0.6,439179.095711796,474321.156236593,439156.347588218,474289.815207869,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,2700A168/139,L2,274.44,315.33,40.89,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(439179.095711796 474321.156236593,439156.347588218 474289.815207869)"
A19_Footway_0,125,2600000125,CONCRETE,27.241830291,0.5,438050.561218644,473480.246944374,438025.908485951,473478.377479502,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,2700A168/133,L2,301.36,326.87,25.51,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(438050.561218644 473480.246944374,438025.908485951 473478.377479502)"
A19_Footway_0,126,2600000126,CONCRETE,3.116770692,2,438052.746159835,473477.027865825,438049.753202656,473476.158114789,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,2700A168/133,L3,299.73,302.93,3.19999999999999,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(438052.746159835 473477.027865825,438049.753202656 473476.158114789)"
A19_Footway_0,127,2600000127,CONCRETE,2.51072397,1.5,438053.059472157,473480.496872832,438050.561218644,473480.246944374,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,2700A168/133,L2,298.79,301.36,2.56999999999999,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(438053.059472157 473480.496872832,438050.561218644 473480.246944374)"
A19_Footway_0,128,2600000128,CONCRETE FLAGS,32.277636333,0.5,438701.714919103,473698.594443052,438676.278905606,473680.779542515,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,2700A168/135,L2,513.7,544.81,31.1099999999999,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(438701.714919103 473698.594443052,438676.278905606 473680.779542515)"
A19_Footway_0,129,2600000129,CONCRETE FLAGS,3.531038756,0.6,438704.782081833,473700.343942263,438701.714919103,473698.594443052,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,2700A168/135,L2,510.19,513.7,3.51000000000005,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(438704.782081833 473700.343942263,438701.714919103 473698.594443052)"
